section,date,title,url
Regulations,"Dec 24, 2025","Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011 [Last amended on December 5, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-substantial-acquisition-of-shares-and-takeovers-regulations-2011-last-amended-on-december-5-2025-_98643.html
Regulations,"Dec 24, 2025","Securities and Exchange Board of India (Intermediaries) Regulations, 2008 [Last amended on December 5, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-intermediaries-regulations-2008-last-amended-on-december-5-2025-_98642.html
Regulations,"Dec 24, 2025","Securities and Exchange Board of India (Merchant Bankers) Regulations, 1992 [Last amended on December 5, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-merchant-bankers-regulations-1992-last-amended-on-december-5-2025-_98640.html
Regulations,"Dec 16, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 [Last amended on December 16, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-regulations-2015-last-amended-on-december-16-2025-_98594.html
Regulations,"Dec 16, 2025","Securities and Exchange Board of India (Registrars to an Issue and Share Transfer Agents) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-registrars-to-an-issue-and-share-transfer-agents-regulations-2025_98477.html
Regulations,"Dec 16, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) (Sixth Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-sixth-amendment-regulations-2025_98408.html
Regulations,"Dec 11, 2025","Securities and Exchange Board of India (Infrastructure Investment Trusts) Regulations, 2014 [Last amended on December 11, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-infrastructure-investment-trusts-regulations-2014-last-amended-on-december-11-2025-_98399.html
Regulations,"Dec 11, 2025","Securities and Exchange Board of India (Real Estate Investment Trusts) Regulations, 2014 [Last amended on December 11, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-real-estate-investment-trusts-regulations-2014-last-amended-on-december-11-2025-_98342.html
Regulations,"Dec 11, 2025","Securities and Exchange Board of India (Real Estate Investment Trusts) (Third Amendment) Regulations, 2025 dated December 11, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-real-estate-investment-trusts-third-amendment-regulations-2025-dated-december-11-2025_98310.html
Regulations,"Dec 11, 2025","Securities and Exchange Board of India (Infrastructure Investment Trusts) (Fourth Amendment) Regulations, 2025 dated December 11, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-infrastructure-investment-trusts-fourth-amendment-regulations-2025-dated-december-11-2025_98305.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 [Last amended on December 05, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-regulations-2018-last-amended-on-december-05-2025-_98695.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Prohibition of Fraudulent and Unfair Trade Practices relating to Securities Market) Regulations, 2003 [Last amended on December 05, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-prohibition-of-fraudulent-and-unfair-trade-practices-relating-to-securities-market-regulations-2003-last-amended-on-december-05-2025-_98694.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Collective Investment Scheme) Regulations, 1999 [Last amended on December 05, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-collective-investment-scheme-regulations-1999-last-amended-on-december-05-2025-_98692.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Substitution of Registered Post with Speed Post) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-substitution-of-registered-post-with-speed-post-amendment-regulations-2025_98250.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Intermediaries) (Third Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-intermediaries-third-amendment-regulations-2025_98212.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-substantial-acquisition-of-shares-and-takeovers-amendment-regulations-2025_98211.html
Regulations,"Dec 05, 2025","Securities and Exchange Board of India (Merchant Bankers) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-merchant-bankers-amendment-regulations-2025_98210.html
Regulations,"Dec 04, 2025","Securities and Exchange Board of India (Share Based Employee Benefits and Sweat Equity) Regulations, 2021 [Last amended on December 4, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-share-based-employee-benefits-and-sweat-equity-regulations-2021-last-amended-on-december-4-2025-_98638.html
